,키워드,제목,언론사,내용,작성일,링크
0,생성형 AI,오픈AI는 왜 챗GPT '공부 모드'를 내놨을까,지디넷코리아,2022년 혜성처럼 등장한 챗GPT의 위력은 대단했다. 뛰어난 대답 능력에 다들 혀를 내둘렀다. '생성형 AI'라는 생소한 용어가 순식간에 일상 용어가...,16시간 전,https://zdnet.co.kr/view/?no=20250730171753
1,생성형 AI,구글 검색 대체하는 ‘생성형 AI’… ‘챗GPT’ 월평균 13일 사용했다 - 조선비즈,Chosun Biz,"구글 검색 대체하는 생성형 AI 챗GPT 월평균 13일 사용했다 챗GPT 평균 사용일수, 레딧·쓰레드 등 주요 SNS·커뮤니티 제쳐 1일 평균 사용 시간 16분...",10시간 전,https://biz.chosun.com/it-science/ict/2025/07/31/DDOEMOAVDZEIRFX7ZPWAOHRAUU/
2,생성형 AI,"딥노이드, 산업부 주관 '대형의료AI 개발 프로젝트' 선정",뉴시스,'의료 특화 초거대 생성형 AI 프로젝트' 주관연구개발기관 선정 5년간 총 116억 원 규모 초거대 생성형 AI 기술 개발 과제 수행.,17시간 전,https://www.newsis.com/view/NISX20250731_0003273163
3,생성형 AI,"산돌, 생성형 AI 기반 사업 본격화 위해 이스트소프트와 맞손",한국경제,콘텐츠 크리에이터 플랫폼 기업 산돌(대표 윤영호)이 인공지능(AI) 서비스 전문기업 이스트소프트(대표 정상원)와 전략적 업무협약(MOU)을 체결했다고...,16시간 전,https://www.hankyung.com/article/202507312914i
4,생성형 AI,"서울대, 데이터·AI TF 신설…내달부터 생성형 AI 서비스 제공",서울경제,사회 > 사회일반 뉴스: 서울대가 인공지능(AI) 기반으로 본격적인 혁신을 추진하기 위해 데이터·AI 태스크포스(TF)를 발족했다. 다음 달부터는 ...,1일 전,https://www.sedaily.com/NewsView/2GVJWM7AGI
5,생성형 AI,"AI와의 대화, 환경에 미치는 숨겨진 비용은?",사이언스타임즈,"... 오늘 생성형 AI를 얼마나 사용했을까? 문서 작성부터 번역, 코딩까지 우리가 AI에게 던진 질문들이 승용차 8km를 달릴 때만큼의 탄소를 배출했다...",1일 전,https://www.sciencetimes.co.kr/nscvrg/view/menu/249?searchCategory=221&nscvrgSn=260639
6,생성형 AI,"마이크로소프트, 엣지를 생성형 AI 브라우저로 전환할 예정",ITWorld Korea,마이크로소프트가 2025년 7월 마지막 주 엣지 브라우저에 생성형 AI 기능을 통합한 새로운 확장 기능 '코파일럿 모드'를 공개했다. 실험적 생성형 AI...,14시간 전,https://www.itworld.co.kr/article/4031758/%EB%A7%88%EC%9D%B4%ED%81%AC%EB%A1%9C%EC%86%8C%ED%94%84%ED%8A%B8-%EC%97%A3%EC%A7%80%EB%A5%BC-%EC%83%9D%EC%84%B1%ED%98%95-ai-%EB%B8%8C%EB%9D%BC%EC%9A%B0%EC%A0%80%EB%A1%9C-%EC%A0%84%ED%99%98%ED%95%A0.html
7,생성형 AI,"크리에이티브 에이전시 Black Mixture, NVIDIA RTX 기반 생성형 AI로 놀라운 비주얼 생성",NVIDIA Blog Korea,미디어 회사인 Black Mixture에게 AI는 단순한 도구가 아니라 크리에이티 비전을 현실로 구현하는 데 도움이 되는 전체 파이프라인입니다.,11시간 전,https://blogs.nvidia.co.kr/blog/rtx-ai-garage-black-mixture-flux-stable-diffusion-broadcast/
8,생성형 AI,"생성형 AI 도구를 사용하는 개발자, 오히려 더 느려졌다",www.itworld.co.kr,"생성형 AI가 업무 생산성을 높인다는 주장과 달리, 실제 현장에서는 효율이 오히려 떨어진다는 분석이 나왔다. ... 엔비디아의 CEO 젠슨 황은 생성형 AI...",1주 전,https://www.itworld.co.kr/article/4025345/%EC%83%9D%EC%84%B1%ED%98%95-ai-%EB%8F%84%EA%B5%AC%EB%A5%BC-%EC%82%AC%EC%9A%A9%ED%95%98%EB%8A%94-%EA%B0%9C%EB%B0%9C%EC%9E%90-%EC%98%A4%ED%9E%88%EB%A0%A4-%EB%8D%94-%EB%8A%90%EB%A0%A4%EC%A1%8C%EB%8B%A4.html
9,생성형 AI,"""한국 기업 AI 도입은 우수, 생태계는 취약"" 세일즈포스",CIO Korea,세일즈포스가 글로벌 AI 경쟁력과 국가별 준비 수준을 심층 분석한 '글로벌 AI 준비 지수(Global AI Readiness Index)'를 발표했다.,9시간 전,https://www.cio.com/article/4031838/%EC%84%B8%EC%9D%BC%EC%A6%88%ED%8F%AC%EC%8A%A4-%EA%B8%80%EB%A1%9C%EB%B2%8C-ai-%EC%A4%80%EB%B9%84-%EC%A7%80%EC%88%98-%EB%B0%9C%ED%91%9C%C2%B7%C2%B7%C2%B7-%ED%95%9C%EA%B5%AD-ai.html
10,생성형 AI,"개인정보위, ‘생성형 AI와 프라이버시’ 주제 세미나 개최",데이터넷,[데이터넷] 개인정보보호위원회는 6일 서울 중구에서 '생성형 AI와 프라이버시' 주제의 세미나를 개최한다.AI 기술 발전으로 산업 전반이 AI 중심으로...,2시간 전,https://www.datanet.co.kr/news/articleView.html?idxno=204120
11,생성형 AI,"[인공지능] 제논, 한국어 기반 32B 생성형 AI 모델 ‘훈민’ 시리즈 공개… 컴퓨터 유즈 에이전트 실현 본격화",굿모닝베트남미디어,"생성형 AI 솔루션 전문기업 제논(옛 마인즈앤컴퍼니, 대표 고석태)이 한국어 기반의 고성능 생성형 AI 모델인 '훈민(Hunmin)' 시리즈를 공개했다고 31...",5시간 전,https://www.goodmorningvietnam.co.kr/news/article.html?no=77661
12,생성형 AI,LG CNS '생성형AI' 구축 기술 MS인증도 획득,뉴스;트리,AI전환(AX) 전문기업 LG CNS가 자사의 생성형 인공지능(AI) 구축기술이 아마존웹서비스(AWS)와 구글에 이어 마이크로소프트(MS)로부터도 기술인증을...,15시간 전,https://www.newstree.kr/newsView/ntr202507310008
13,생성형 AI,"개인정보위, 다음달 '생성형 AI와 프라이버시' 세미나 개최",뉴시스,'생성형 인공지능(AI) 개발·활용 위한 개인정보 처리 안내서' 공개 신뢰·책임 기반의 AI 혁신 촉진 위한 개인정보 정책 방향 논의.,13시간 전,https://www.newsis.com/view/NISX20250731_0003273522
14,생성형 AI,"[특별기고] 생성형 AI 콘텐츠 시대, ‘이해하는 국민’이 진짜 강국을 만든다",투데이신문,"인공지능(AI)이 이제 우리 일상 곳곳에 깊숙이 스며들고 있다. 기술의 발전 속도가 그 어느 때보다 빠른 지금, AI에 대한 이해는 선택이 아닌 필수가...",17시간 전,https://www.ntoday.co.kr/news/articleView.html?idxno=118021
15,생성형 AI,"개인정보위, 8월초 생성형 AI 개인정보 처리 안내서 공개",뉴스1,(서울=뉴스1) 이기림 기자 = 개인정보보호위원회가 8월 초 생성형 인공지능(AI) 개발·활용을 위한 개인정보 처리 안내서를 발표한다.,13시간 전,https://www.news1.kr/politics/pm-bai-comm/5865108
16,생성형 AI,생성형 AI 솔루션 시장 규모 보고서(2025 – 2034년),Global Market Insights,2024년 전 세계 생성형 AI 솔루션 시장 규모는 186억 달러로 추산됩니다. 시장은 연평균 성장률(CAGR) 25.2%로 2025년 245억 달러에서 2034년 1856억 달러로 성장할...,20시간 전,https://www.gminsights.com/ko/industry-analysis/generative-ai-solution-market
17,생성형 AI,"딥노이드, '의료 특화 초거대 생성형 AI' 개발한다",MEDI:GATE NEWS,[메디게이트뉴스 박민식 기자] 의료 AI 기업 딥노이드가 산업통상자원부 주관 총 116억 원 규모의 대형 AI 기술 개발 프로젝트 주관연구개발기관으로...,15시간 전,https://www.medigatenews.com/news/4002769325
18,생성형 AI,"개인정보위, '생성형 AI와 프라이버시' 세미나 개최",아이뉴스24,[아이뉴스24 박정민 기자] 개인정보보호위원회(위원장 고학수)는 내달 6일 서울 중구 정동 1928 아트센터에서 '생성형 인공지능(AI)와 프라이버시'를...,13시간 전,https://www.inews24.com/view/1871462
19,생성형 AI,"[ISEC 2025 미리보기] F5 AI Gateway, 생성형 AI 보안위해 LLM 요청 흐름·응답 제어 및 민감 데이터 보호",보안뉴스,"아이티언(대표 김영훈)은 글로벌 보안 기업 F5의 국내 공식 총판으로, F5 애플리케이션 전송 및 보안 플랫폼(Application Delivery and Security...",8시간 전,http://www.boannews.com/media/view.asp?idx=138382
20,생성형 AI,"산돌·이스트소프트, 생성형 AI 기반 영상 사업 맞손",데이터넷,[데이터넷] 콘텐츠 크리에이터 플랫폼 기업 산돌(대표 윤영호)은 인공지능(AI) 서비스 전문기업 이스트소프트(대표 정상원)와 전략적 업무협약(MOU)을...,14시간 전,https://www.datanet.co.kr/news/articleView.html?idxno=204095
21,생성형 AI,"생성형 AI 앱, 상반기 다운로드 17억건 돌파…수익도 2배",디지털투데이,[디지털투데이 AI리포터] 생성형 인공지능(AI) 앱이 2025년 상반기 다운로드와 인앱 수익에서 큰 성장을 기록했다.30일(현지시간) IT매체 테크크런치...,16시간 전,https://www.digitaltoday.co.kr/news/articleView.html?idxno=581627
22,생성형 AI,"“시스템 관리자, 생성형 AI 도입 확대···불신은 여전” 액션원 조사결과",CIO Korea,"새로운 조사에 따르면, 생성형 AI 도입이 증가하고 있지만, 여전히 시스템 관리자는 이 기술에 대해 회의적인 시각을 유지하고 있는 것으로 나타났다.",3일 전,https://www.cio.com/article/4029350/%EC%8B%9C%EC%8A%A4%ED%85%9C-%EA%B4%80%EB%A6%AC%EC%9E%90-%EC%83%9D%EC%84%B1%ED%98%95-ai-%EB%8F%84%EC%9E%85-%ED%99%95%EB%8C%80%C2%B7%C2%B7%C2%B7%EB%B6%88%EC%8B%A0%EC%9D%80-%EC%97%AC%EC%A0%84.html
23,생성형 AI,생성형AI 국가전략기술로…웹툰 제작비 세액공제[李정부 세제개편],뉴시스,"정부, 2025년 세제개편안 발표 AI 세부기술·데이터센터, 국가전략기술 포함 AI자율운항·미래차 관련 기술도 지원 대상에 영상콘텐츠 세액공제 연장...",8시간 전,https://www.newsis.com/view/NISX20250731_0003274075
