브랜드,상품명(영문),상품명(한글),가격,관심수,리뷰수,상세페이지 링크
Nike,Nike Air Force 1 '07 Low White,나이키 에어포스 1 '07 로우 화이트,"99,000원",관심 23.7만,"・
리뷰 1.8만",https://kream.co.kr/products/12831?fetchRelated=true
Nike,Nike Air Force 1 '07 WB Flax,나이키 에어포스 1 '07 WB 플랙스,"120,000원",관심 18.3만,"・
리뷰 1.6만",https://kream.co.kr/products/21935?fetchRelated=true
Nike,Nike Air Force 1 '07 Low Triple Black,나이키 에어포스 1 '07 로우 트리플 블랙,"104,000원",관심 12.8만,"・
리뷰 7,316",https://kream.co.kr/products/36?fetchRelated=true
Nike,(W) Nike Air Superfly Metallic Silver and Black,(W) 나이키 에어 슈퍼플라이 메탈릭 실버 앤 블랙,"116,000원",관심 2만,"・
리뷰 606",https://kream.co.kr/products/435348?fetchRelated=true
Nike,Nike Zoom Fly 6 White Smoke Grey,나이키 줌 플라이 6 화이트 스모크 그레이,"138,000원","관심 7,257","・
리뷰 460",https://kream.co.kr/products/368749?fetchRelated=true
Nike,Nike Zoom Fly 6 White Pure Platinum,나이키 줌 플라이 6 화이트 퓨어 플래티넘,"140,000원","관심 6,662","・
리뷰 311",https://kream.co.kr/products/508843?fetchRelated=true
Nike,(W) Nike Sportswear Chill Knit Graphic T-Shirt Midnight Navy,(W) 나이키 스포츠웨어 칠 니트 그래픽 티셔츠 미드나잇 네이비,"66,000원","관심 2,064","・
리뷰 12",https://kream.co.kr/products/558271?fetchRelated=true
Nike,(W) Nike Air Force 1 '07 WB Flax Wheat,(W) 나이키 에어포스 1 '07 WB 플랙스 위트,"100,000원",관심 5.1만,"・
리뷰 3,039",https://kream.co.kr/products/219423?fetchRelated=true
Nike,Nike Brasilia 9.5 Training Duffle Bag Small 41L Black,나이키 브라질리아 9.5 트레이닝 더플백 스몰 41L 블랙,"31,000원",관심 1.9만,"・
리뷰 2,006",https://kream.co.kr/products/97807?fetchRelated=true
Nike,Nike ReactX Rejuven8 Slide Black,나이키 리액트X 리주버네이트 슬라이드 블랙,"61,000원","관심 3,931","・
리뷰 360",https://kream.co.kr/products/507578?fetchRelated=true
